subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification	confidence	comment	author_id
http://edamontology.org/topic__RBNfUSYBOKUapWrsyPMMTkw	Scanning electron cryomicroscopy	http://purl.obolibrary.org/obo/FBbi_00100016	cryogenic scanning electron microscopy	skos:exactMatch	semapv:LexicalMatching	0.8	exact match between EDAM exact synonym and FBbi label	0000-0003-2473-2313
http://edamontology.org/topic___Fluorescence_recovery_after_photobleaching	Fluorescence recovery after photobleaching	http://purl.obolibrary.org/obo/FBbi_00000366	FRAP	skos:exactMatch	semapv:LexicalMatching	0.8	exact match between EDAM exact synonym and FBbi label	0000-0003-2473-2313
http://edamontology.org/topic___Foerster_resonance_energy_transfer	Förster resonance energy transfer	http://purl.obolibrary.org/obo/FBbi_00000367	FRET	skos:exactMatch	semapv:LexicalMatching	0.8	exact match between EDAM exact synonym and FBbi label	0000-0003-2473-2313
http://edamontology.org/topic__RNFOzq5E0ZVBh5Euhn06rn	DIC microscopy	http://purl.obolibrary.org/obo/FBbi_00000245	differential interference contrast microscopy	skos:exactMatch	semapv:LexicalMatching	0.8	exact match between EDAM exact synonym and FBbi label	0000-0003-2473-2313
http://edamontology.org/topic__RDCjx86atJP685sX1zrE2ia	Electron cryotomography	http://purl.obolibrary.org/obo/FBbi_00100015	cryogenic electron tomography	skos:exactMatch	semapv:LexicalMatching	0.9	exact match between EDAM label and FBbi exact synonym	0000-0003-2473-2313
http://edamontology.org/topic__RDCjx86atJP685sX1zrE2ia	Electron cryotomography	http://purl.obolibrary.org/obo/FBbi_00100015	cryogenic electron tomography	skos:exactMatch	semapv:LexicalMatching	0.9	exact match between EDAM label and FBbi exact synonym	0000-0003-2473-2313
http://edamontology.org/topic_Light-sheet_microscopy	Light-sheet microscopy	http://purl.obolibrary.org/obo/FBbi_00000369	selective plane illumination fluorescence microscopy	skos:exactMatch	semapv:LexicalMatching	0.9	exact match between EDAM label and FBbi exact synonym	0000-0003-2473-2313
http://edamontology.org/topic__R8nlu8VCuL5nvBFgOaGNHgT	Polarized light microscopy	http://purl.obolibrary.org/obo/FBbi_00000248	polarization microscopy	skos:exactMatch	semapv:LexicalMatching	0.9	exact match between EDAM label and FBbi exact synonym	0000-0003-2473-2313
http://edamontology.org/topic_3452	Tomography	http://purl.obolibrary.org/obo/FBbi_00001004	tomography	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__RxfmHE99gOkUOOML5krfsJ	Computed tomography	http://purl.obolibrary.org/obo/FBbi_00001005	computed tomography	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_Microscopy	Microscopy	http://purl.obolibrary.org/obo/FBbi_00000241	microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_0611	Electron microscopy	http://purl.obolibrary.org/obo/FBbi_00000256	electron microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__R7LElbFkBgKS401YKsVtNck	Transmission electron microscopy	http://purl.obolibrary.org/obo/FBbi_00000258	transmission electron microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_3385	Light microscopy	http://purl.obolibrary.org/obo/FBbi_00000345	light microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_Fluorescent_microscopy	Fluorescence microscopy	http://purl.obolibrary.org/obo/FBbi_00000246	fluorescence microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic___Fluorescence_lifetime_imaging	Fluorescence lifetime imaging microscopy	http://purl.obolibrary.org/obo/FBbi_00000368	fluorescence lifetime imaging microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__R9Cmje2ZUXyDW6aQAvFhwSM	Confocal microscopy	http://purl.obolibrary.org/obo/FBbi_00000251	confocal microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__RBKlmE9DGTZwEwxw0juThGg	Multi-photon microscopy	http://purl.obolibrary.org/obo/FBbi_00000255	multi-photon microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__R89wYXZ2735GXdn4m4GOT9n	Dark-field microscopy	http://purl.obolibrary.org/obo/FBbi_00000244	dark-field microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic__RDdX0TswBVhmWiS1dI3pghN	Bright-field microscopy	http://purl.obolibrary.org/obo/FBbi_00000243	bright-field microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_____Atomic_force_microscopy	Atomic force microscopy	http://purl.obolibrary.org/obo/FBbi_00000259	atomic force microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
http://edamontology.org/topic_____X-ray_microscopy	X-ray microscopy	http://purl.obolibrary.org/obo/FBbi_00000260	X-ray microscopy	skos:exactMatch	semapv:LexicalMatching	1.0	exact match between EDAM label and FBbi label (case-insensitive)	0000-0003-2473-2313
